,date,Excitation Field Current,Excitation Field Voltage,Power Factor,Reactive Power,Generator Gross Capacity
61,2020-11-30 01:01:00,1292.850708,246.2377319,1.015137553,29.37945366,232.4453583
62,2020-11-30 01:02:00,1293.925415,246.2120209,1.015137553,29.33156013,232.5491028
63,2020-11-30 01:03:00,1295.65686,246.4636688,1.015137553,29.7467804,233.0713501
64,2020-11-30 01:04:00,1295.941772,247.1546326,1.015137553,29.91630554,232.9584045
65,2020-11-30 01:05:00,1294.241455,246.3802643,1.015137553,30.07020569,232.8249512
66,2020-11-30 01:06:00,1300.484863,247.619812,1.015137553,30.64109993,234.0335388
67,2020-11-30 01:07:00,1292.903687,246.434433,1.015137553,29.39511681,232.9734955
68,2020-11-30 01:08:00,1289.125977,245.0311584,1.015137553,29.3360405,231.7516785
69,2020-11-30 01:09:00,1290.507935,245.7387085,1.015137553,29.24664116,232.6059113
70,2020-11-30 01:10:00,1291.04834,245.7814789,1.015137553,29.29552078,232.3912048
71,2020-11-30 01:11:00,1295.227539,246.8670349,1.015137553,29.67196083,233.0547028
72,2020-11-30 01:12:00,1297.011353,246.4687958,1.015137553,30.05701447,233.7104797
73,2020-11-30 01:13:00,1291.800659,245.559021,1.015137553,29.16267395,232.9579773
74,2020-11-30 01:14:00,1288.101929,245.1130524,1.015137553,28.64357185,231.6450653
75,2020-11-30 01:15:00,1279.629761,243.5248871,1.015137553,27.11644173,231.0043488
76,2020-11-30 01:16:00,1278.747192,242.9964447,1.014840364,27.30928612,230.419693
77,2020-11-30 01:17:00,1283.95874,244.1913147,1.014528155,28.56764984,231.1279449
78,2020-11-30 01:18:00,1282.557129,243.8062897,1.014215827,27.89633179,230.6192017
79,2020-11-30 01:19:00,1274.355225,242.2363739,1.013191342,26.77539253,229.5093842
80,2020-11-30 01:20:00,1275.850342,242.8660889,1.014283895,27.48940468,229.1252441
81,2020-11-30 01:21:00,1277.828369,243.0966797,1.014110446,27.97558594,228.9854431
82,2020-11-30 01:22:00,1277.346069,242.7351532,1.013937116,27.58273888,229.3384247
83,2020-11-30 01:23:00,1275.92041,242.2243958,1.013763666,27.07336235,229.5810547
84,2020-11-30 01:24:00,1277.396851,242.491806,1.013590217,27.27030182,229.8863831
85,2020-11-30 01:25:00,1274.983398,242.2727203,1.013416767,26.75012207,229.0179901
86,2020-11-30 01:26:00,1272.677856,241.9870911,1.013299346,26.82694054,229.2064514
87,2020-11-30 01:27:00,1275.681641,242.4496765,1.014663577,27.56501007,229.0805511
88,2020-11-30 01:28:00,1280.566406,243.8331146,1.014974952,28.29595947,228.7611542
89,2020-11-30 01:29:00,1276.300781,242.4745178,1.014280081,27.48533821,228.6940155
90,2020-11-30 01:30:00,1278.683594,242.829422,1.014280081,28.15674591,229.0974274
91,2020-11-30 01:31:00,1276.746582,242.4053802,1.014280081,27.76502419,229.8283844
92,2020-11-30 01:32:00,1277.188354,242.4818115,1.014280081,27.6267662,229.1191406
93,2020-11-30 01:33:00,1276.004639,242.293457,1.014280081,27.5403614,229.244339
94,2020-11-30 01:34:00,1279.541626,243.3648682,1.014280081,27.90990639,229.708847
95,2020-11-30 01:35:00,1279.152832,243.2179718,1.014280081,27.64426994,229.9026642
96,2020-11-30 01:36:00,1279.178833,243.0918121,1.014280081,28.47714996,229.7187347
97,2020-11-30 01:37:00,1281.015381,243.1283264,1.014280081,28.56934166,229.4784698
98,2020-11-30 01:38:00,1283.46228,244.0035248,1.014280081,29.11706352,229.7603912
99,2020-11-30 01:39:00,1280.25354,243.5569,1.014280081,28.78671074,229.9003143
100,2020-11-30 01:40:00,1280.296143,243.2367706,1.014280081,28.2383709,229.8568726
101,2020-11-30 01:41:00,1282.643433,243.3917999,1.014280081,29.47039032,229.9035034
102,2020-11-30 01:42:00,1285.330322,244.3317566,1.014280081,29.05361748,230.0045471
103,2020-11-30 01:43:00,1285.542114,244.1728668,1.014280081,29.04800224,230.0420074
104,2020-11-30 01:44:00,1281.198975,243.5062256,1.014280081,28.15123367,229.8230743
105,2020-11-30 01:45:00,1287.650635,245.1295013,1.014280081,28.85330582,231.4758606
106,2020-11-30 01:46:00,1279.320923,242.8332825,1.014280081,28.19519615,229.3560944
107,2020-11-30 01:47:00,1279.493042,242.661499,1.014280081,28.32445335,229.495163
108,2020-11-30 01:48:00,1283.456787,243.8573151,1.014280081,28.93604279,230.4399567
109,2020-11-30 01:49:00,1285.133179,244.2566376,1.014280081,29.12731934,229.9594879
110,2020-11-30 01:50:00,1281.576782,243.4417267,1.014280081,28.86059952,229.9139557
111,2020-11-30 01:51:00,1283.762573,243.5748291,1.014280081,29.19924927,229.3965912
112,2020-11-30 01:52:00,1279.291626,242.7603912,1.014280081,27.78990936,230.0887909
113,2020-11-30 01:53:00,1281.52478,243.9188995,1.014280081,28.58919907,229.4012451
114,2020-11-30 01:54:00,1284.711304,244.4463348,1.014280081,28.96891403,230.1189117
115,2020-11-30 01:55:00,1286.38208,244.4434814,1.014280081,29.30712509,230.0621338
